title,link,summary,date
Sun story is 'heartless' and 'immoral' - Ben Stokes,https://www.espncricinfo.com/story/sun-story-is-heartless-and-immoral-ben-stokes-1201096,England allrounder hits out at publication of details of family tragedy more than three decades ago,17-Sep-2019
Mominul Haque to lead A side to Sri Lanka,https://www.espncricinfo.com/story/mominul-haque-to-lead-bangladesh-a-side-to-sri-lanka-1201080,Soumya Sarkar and Mehidy Hasan Miraz have been picked among 13 capped players in the 16-member Bangladesh A side,17-Sep-2019
India's batting depth in focus against Kagiso Rabada & Co.,https://www.espncricinfo.com/series/south-africa-in-india-2019-20-1186975/india-vs-south-africa-2nd-t20i-1187005/match-preview,"Led by a new captain, South Africa could hand out at least two new caps; India likely to pick Dhawan over Rahul",17-Sep-2019
Berkshire clinch Minor Counties Championship in one-wicket thriller,https://www.espncricinfo.com/series/unicorns-championship-2019-1177839/berkshire-vs-staffordshire-final-1178003/match-report-3,"Fourth consecutive title for champions, but they are forced to fight all the way as Maxfield takes seven",17-Sep-2019
'World Cup or IPL?' - Quinton de Kock clarifies,https://www.espncricinfo.com/story/world-cup-or-ipl-quinton-de-kock-clarifies-1201073,South Africa's T20I captain had said the IPL 2019 final had a more emotionally intense atmosphere than the loss in the World Cup 2015 semi-final,17-Sep-2019
The Rishabh Pant journey from 'fearless' to 'careless' and back,https://www.espncricinfo.com/story/the-rishabh-pant-journey-from-fearless-to-careless-and-back-1201070,Pant knows what he's trying to do when he takes a risk. New batting coach Vikram Rathour believes the wicketkeeper-batsman has to only hone his game plans.,17-Sep-2019
'We've learnt a lot from what we've been through' - Sean Williams,https://www.espncricinfo.com/story/we-ve-learnt-a-lot-from-what-we-ve-been-through-sean-williams-1201068,"""You can see the team starting to bond more and more, and come together more as a unit,"" the Zimbabwe allrounder says",17-Sep-2019
"Shubman Gill, Karun Nair make South Africa A toil",https://www.espncricinfo.com/series/sa-a-tour-of-india-2019-1197416/india-a-vs-south-africa-a-2nd-unofficial-test-1197426/match-report-1,India's reserve opener made 92 to further establish his red-ball credentials; Nair ended the day unbeaten on 78,17-Sep-2019
"Seniors search for form as Bangladesh, Zimbabwe look to fight their way out of a corner",https://www.espncricinfo.com/series/bangladesh-t20-series-2019-1197136/bangladesh-vs-zimbabwe-4th-match-1197143/match-preview,"Given Afghanistan's blazing start in the tri-series, this is a match the other two sides will want to win to stay in the race",17-Sep-2019
Healy hammers another fifty as Australia clinch series,https://www.espncricinfo.com/series/aus-w-in-west-indies-2019-1198466/west-indies-women-vs-australia-women-2nd-t20i-1198476/match-report,Australia seal series with 2-0 lead against an error-ridden effort from West Indies,17-Sep-2019
Simon Katich formalised as list management consultant with Perth Scorchers,https://www.espncricinfo.com/story/simon-katich-formalised-as-list-management-consultant-with-perth-scorchers-1201021,"Former captain's consulting role becomes official, as Beau Casson and Matt Mason also join the Scorchers coaching staff under Adam Voges",17-Sep-2019
Sandeep Lamichhane returns to Melbourne Stars for entire BBL season,https://www.espncricinfo.com/story/sandeep-lamichhane-returns-to-melbourne-stars-for-entire-bbl-season-1201020,"Nepal legspinner set to play the entire BBL, after missing eight games last season due to BPL and international commitments",17-Sep-2019
"Relegated Notts relax via Steven Mullaney, Joe Clarke hundreds",https://www.espncricinfo.com/series/county-div-one-2019-1166898/nottinghamshire-vs-warwickshire-1166963/match-report-1,Captain scores career-best alongside return to form for Lions batsman,16-Sep-2019
Veteran Darren Stevens hammers career-best 237 to spur Kent contract talks,https://www.espncricinfo.com/series/county-div-one-2019-1166898/yorkshire-vs-kent-1166964/match-report-1,Double-ton for Darren Stevens and a Sam Billings century lift Kent from 39 for 5,16-Sep-2019
Bailey begins celebrations early as Lancashire seal Division Two title,https://www.espncricinfo.com/series/county-div-2-2019-1166901/lancashire-vs-middlesex-1167031/match-report-1,Seamer wrecks MIddlesex top-order with five wickets after Livingstone half-century,16-Sep-2019
Reece Topley makes fruitful comeback as Sussex seamers rule,https://www.espncricinfo.com/series/county-div-2-2019-1166901/derbyshire-vs-sussex-1167029/match-report-1,Derbyshire bowled out for 138 before Stiaan van Zyl marshals Sussex reply,16-Sep-2019
